"","line","movie"
"1","        SOUND OF METAL","Sound of Metal"
"2","","Sound of Metal"
"3","","Sound of Metal"
"4","          written by","Sound of Metal"
"5","","Sound of Metal"
"6","Darius Marder and Abraham Marder","Sound of Metal"
"7","HE HEARS HEAVY FEEDBACK, BUILDING AND SQUEALING...","Sound of Metal"
"8","","Sound of Metal"
"9","INT. CLUB STAGE - NIGHT","Sound of Metal"
"10","Harsh white lights illuminate RUBEN (40), beady eyes, punk-","Sound of Metal"
"11","like, weathered boyish face and tattoos everywhere. He's","Sound of Metal"
"12","waiting, intensely, for the beginning, for it all to start.","Sound of Metal"
"13","He looks up and his focus locks in tight on Lou (30) an","Sound of Metal"
"14","assured, freak, creature dressed in black, with an air of","Sound of Metal"
"15","royalty about her. The loop of her sound grows. Guitar pedals","Sound of Metal"
"16","and synthesizers lay on the stage floor as she looks to Ruben","Sound of Metal"
"17","with a suddenly manic intensity. She picks up her beat up","Sound of Metal"
"18","Telecaster and strikes a chord with surprising menace. She","Sound of Metal"
"19","stomps on her looping pedal. The sound hisses low, wild and","Sound of Metal"
"20","bracing. Ruben stares and waits, poised... he can almost","Sound of Metal"
"21","taste her sweat. She flashes a quick glance toward him and","Sound of Metal"
"22","Ruben unleashes, bringing the sticks down upon his drums with","Sound of Metal"
"23","pure demonic ecstasy. Lou leans in towards the microphone,","Sound of Metal"
"24","relishing the moment. Her desperate and distorted scream","Sound of Metal"
"25","fills the hall. The whites of Ruben’s eyes flash as if","Sound of Metal"
"26","igniting an erotic charge, this glorious being, merging with","Sound of Metal"
"27","him. Sweat drips from Ruben’s hair and his eyes burn in an","Sound of Metal"
"28","endless climax... or pain.","Sound of Metal"
"29","SOUND OF METAL","Sound of Metal"
"30","","Sound of Metal"
"31","INT. AIRSTREAM - MORNING","Sound of Metal"
"32","We hear the slightest whistle of a breeze... a squeak...","Sound of Metal"
"33","subtle noises from the outside world as...","Sound of Metal"
"34","Ruben sits up suddenly and looks around a small, oddly shaped","Sound of Metal"
"35","room at the back end of an old Airstream trailer. He looks","Sound of Metal"
"36","down at Lou as if expecting her to be gone. She’s asleep and","Sound of Metal"
"37","immediately unrecognizable from her severe on-stage persona.","Sound of Metal"
"38","He stares at her pale, unmade face, eyes closed... he","Sound of Metal"
"39","imagines her dreams, complex, dark and rich with meaning.","Sound of Metal"
"40","Ruben listens...A leaf blower outside in the distance. he","Sound of Metal"
"41","gets up.","Sound of Metal"
"42","He pulls open the window curtain over a tiny dining table.","Sound of Metal"
"43","The morning light blinds his eyes and illuminates the","Sound of Metal"
"44","interior of the AIRSTREAM. This is the living, kitchen,","Sound of Metal"
"45","dining and war room of an obsessed audiophile. Instruments,","Sound of Metal"
"46","cords, mixing boards, reel-to-reel tape recorders, mics, all","Sound of Metal"
"47","tightly hung and fit into the tiny space. Sound equipment","Sound of Metal"
"48","coexists with other items of kitsch collected over years of","Sound of Metal"
"49","nomadic living.","Sound of Metal"
"50","Ruben peers out the window. He looks for signs of danger,","Sound of Metal"
"51","anything...","Sound of Metal"
"52","                                                                2.","Sound of Metal"
"53","","Sound of Metal"
"54","INT. AIRSTREAM - MORNING","Sound of Metal"
"55","The SOUND OF COFFEE DRIPPING AND GURGLING into a coffee pot.","Sound of Metal"
"56","","Sound of Metal"
"57","INT. AIRSTREAM - MOMENTS LATER","Sound of Metal"
"58","Ruben packs green vegetables and spices into a blender. He","Sound of Metal"
"59","presses his hand down and the blender THRASHES LOUDLY.","Sound of Metal"
"60","INT. AIRSTREAM - MOMENTS LATER","Sound of Metal"
"61","Ruben performs his daily stretches and pushups.","Sound of Metal"
"62","","Sound of Metal"
"63","INT. AIRSTREAM - MOMENTS LATER","Sound of Metal"
"64","Ruben, with laser focus, cleans out some electrical equipment","Sound of Metal"
"65","with compressed air... fastidious... borderline OCD...","Sound of Metal"
"66","","Sound of Metal"
"67","INT. AIRSTREAM - MOMENTS LATER","Sound of Metal"
"68","Ruben places a record on a turntable and a surprisingly","Sound of Metal"
"69","tender, blues song from the 1920's plays. Ruben slowly turns","Sound of Metal"
"70","up the volume.","Sound of Metal"
"71","","Sound of Metal"
"72","INT. AIRSTREAM - MOMENTS LATER","Sound of Metal"
"73","Ruben makes breakfast, sets food and smoothies on the small","Sound of Metal"
"74","dining table.","Sound of Metal"
"75","","Sound of Metal"
"76","                      RUBEN","Sound of Metal"
"77","          Lou!","Sound of Metal"
"78","","Sound of Metal"
"79","INT. AIRSTREAM - MORNING","Sound of Metal"
"80","Ruben walks from the living room to the back of the","Sound of Metal"
"81","airstream. He looks at Lou sleeping...","Sound of Metal"
"82","                      RUBEN","Sound of Metal"
"83","          Hey Lulu.","Sound of Metal"
"84","No response. Ruben stares. He grabs a pair of drum sticks and","Sound of Metal"
"85","sits on the bed next to her. With great focus, he begins to","Sound of Metal"
"86","slowly drum a beat on the backs of covered thighs... this","Sound of Metal"
