"","line","movie"
"1","                           TOP GUN: MAVERICK","Top Gun: Maverick"
"2","","Top Gun: Maverick"
"3","","Top Gun: Maverick"
"4","","Top Gun: Maverick"
"5","                     Based on Characters Created by","Top Gun: Maverick"
"6","","Top Gun: Maverick"
"7","                       Jim Cash & Jack Epps, Jr.","Top Gun: Maverick"
"8","","Top Gun: Maverick"
"9","","Top Gun: Maverick"
"10","","Top Gun: Maverick"
"11","                               Story by","Top Gun: Maverick"
"12","","Top Gun: Maverick"
"13","                             Peter Craig","Top Gun: Maverick"
"14","                                 and","Top Gun: Maverick"
"15","                             Justin Marks","Top Gun: Maverick"
"16","","Top Gun: Maverick"
"17","","Top Gun: Maverick"
"18","","Top Gun: Maverick"
"19","                            Screenplay by","Top Gun: Maverick"
"20","","Top Gun: Maverick"
"21","                            Ehren Kruger","Top Gun: Maverick"
"22","                                 and","Top Gun: Maverick"
"23","                         Eric Warren Singer","Top Gun: Maverick"
"24","                                 and","Top Gun: Maverick"
"25","                        Christopher McQuarrie","Top Gun: Maverick"
"26","","Top Gun: Maverick"
"27","","Top Gun: Maverick"
"28","","Top Gun: Maverick"
"29","","Top Gun: Maverick"
"30","Paramount Pictures","Top Gun: Maverick"
"31","1     EXT. CARRIER DECK - DAWN                                      1","Top Gun: Maverick"
"32","","Top Gun: Maverick"
"33","      FIGHTER JETS roll on the silhouetted deck as FLIGHT CREWS","Top Gun: Maverick"
"34","      work their technical ballet. Men and women devoted to detail","Top Gun: Maverick"
"35","      and duty, preparing their warriors for the arena. All the","Top Gun: Maverick"
"36","      while, MUSIC builds over OPENING TITLES as jets LAUNCH into","Top Gun: Maverick"
"37","      the sky, afterburners blazing, roaring like thunder...","Top Gun: Maverick"
"38","","Top Gun: Maverick"
"39","","Top Gun: Maverick"
"40","A3    EXT. CARRIER ELEVATOR - DAWN                                 A3","Top Gun: Maverick"
"41","","Top Gun: Maverick"
"42","      AN F-18 silhouetted against the morning sky, rising to the","Top Gun: Maverick"
"43","      main deck. A HELMET edges into frame, bearing red white and","Top Gun: Maverick"
"44","      blue stripes along with the name: MAVERICK.","Top Gun: Maverick"
"45","","Top Gun: Maverick"
"46","      BOOM UP TO REVEAL the man holding the helmet, his back to us,","Top Gun: Maverick"
"47","      his head turned slightly. Something troubles him. Deeply.","Top Gun: Maverick"
"48","","Top Gun: Maverick"
"49","                          MAVERICK","Top Gun: Maverick"
"50","                Talk to me, Goose...","Top Gun: Maverick"
"51","","Top Gun: Maverick"
"52","                          MAN’S VOICE (O.S.)","Top Gun: Maverick"
"53","                Captain Mitchell.","Top Gun: Maverick"
"54","","Top Gun: Maverick"
"55","      And as the pilot turns we MATCH CUT TO:","Top Gun: Maverick"
"56","","Top Gun: Maverick"
"57","","Top Gun: Maverick"
"58","A12   INT. AIRSTREAM - DAY                                        A12","Top Gun: Maverick"
"59","","Top Gun: Maverick"
"60","      PETE “MAVERICK” MITCHELL opens his eyes from a deep sleep. He","Top Gun: Maverick"
"61","      sits up, takes a deep breath, taking in the humble trailer he","Top Gun: Maverick"
"62","      calls home. For those of us who know Maverick from long ago,","Top Gun: Maverick"
"63","      we’re left to wonder how he ended up here.","Top Gun: Maverick"
"64","","Top Gun: Maverick"
"65","      He stands, moves to the kitchenette to start the coffee","Top Gun: Maverick"
"66","      machine and, along with, his day.","Top Gun: Maverick"
"67","","Top Gun: Maverick"
"68","","Top Gun: Maverick"
"69","12    INT. HANGAR HOME - DUSK                                      12","Top Gun: Maverick"
"70","","Top Gun: Maverick"
"71","      CLOSE ON the door of Mav’s trailer as he exits, holding a","Top Gun: Maverick"
"72","      plate with his breakfast and a cup of joe. Pull back with him","Top Gun: Maverick"
"73","      TO REVEAL:","Top Gun: Maverick"
"74","","Top Gun: Maverick"
