"","line","movie"
"1","                         NIGHTMARE ALLEY","Nightmare Alley"
"2","                                       Written by","Nightmare Alley"
"3","","Nightmare Alley"
"4","                        Guillermo del Toro & Kim Morgan","Nightmare Alley"
"5","","Nightmare Alley"
"6","                               Based on the Novel by","Nightmare Alley"
"7","                              William Lindsay Gresham","Nightmare Alley"
"8","","Nightmare Alley"
"9","","Nightmare Alley"
"10","","Nightmare Alley"
"11","","Nightmare Alley"
"12","                                             Final Shooting Script - December 1, 2021","Nightmare Alley"
"13","","Nightmare Alley"
"14","","Nightmare Alley"
"15","","Nightmare Alley"
"16","","Nightmare Alley"
"17","ALL RIGHTS RESERVED. COPYRIGHT ©2021 TYRONE PRODUCTIONS INC. NO PORTION OF THIS SCRIPT MAY BE","Nightmare Alley"
"18","PERFORMED, PUBLISHED, REPRODUCED, SOLD OR DISTRIBUTED BY ANY MEANS, OR QUOTED OR PUBLISHED IN","Nightmare Alley"
"19"," ANY MEDIUM, INCLUDING ANY WEB SITE, WITHOUT THE PRIOR WRITTEN CONSENT OF TYRONE PRODUCTIONS","Nightmare Alley"
"20","  INC. DISPOSAL OF THIS SCRIPT COPY DOES NOT ALTER ANY OF THE RESTRICTIONS SET FORTH ABOVE.","Nightmare Alley"
"21","Nightmare Alley - FINAL SHOOTING SCRIPT - 12-1-21                 1.","Nightmare Alley"
"22","","Nightmare Alley"
"23","","Nightmare Alley"
"24","1       INT. COUNTRY SHACK - DUSK                                       1","Nightmare Alley"
"25","","Nightmare Alley"
"26","        A lean man in his thirties, STANTON “STAN” CARLISLE drags a","Nightmare Alley"
"27","        burlap-wrapped corpse into an open grave- in the center of","Nightmare Alley"
"28","        the room, made with missing floorboards.","Nightmare Alley"
"29","","Nightmare Alley"
"30","        A CAN OF GASOLINE is lined up in front of the grave.","Nightmare Alley"
"31","","Nightmare Alley"
"32","        STAN, hat and coat on, lights his cigarette- throws the","Nightmare Alley"
"33","        match.","Nightmare Alley"
"34","","Nightmare Alley"
"35","        Everything catches fire.","Nightmare Alley"
"36","","Nightmare Alley"
"37","        Stan picks up his radio and suitcase, and walks out the door.","Nightmare Alley"
"38","","Nightmare Alley"
"39","2       EXT. DESOLATE LANDSCAPE/SHACK - DUSK                            2","Nightmare Alley"
"40","","Nightmare Alley"
"41","        The shack burns.","Nightmare Alley"
"42","","Nightmare Alley"
"43","        Stan walks away.","Nightmare Alley"
"44","","Nightmare Alley"
"45","3       INT. BUS - MOVING - DUSK                                        3","Nightmare Alley"
"46","","Nightmare Alley"
"47","        Stan examines his wristwatch. Folds a handkerchief, puts it","Nightmare Alley"
"48","        in his hat.","Nightmare Alley"
"49","","Nightmare Alley"
"50","        He covers his face with his hat and goes to sleep. The light","Nightmare Alley"
"51","        changes around him. Becomes night.","Nightmare Alley"
"52","","Nightmare Alley"
"53","                                                            TIME CUT:","Nightmare Alley"
"54","","Nightmare Alley"
"55","4       INT. BUS - NIGHT                                                4","Nightmare Alley"
"56","","Nightmare Alley"
"57","        A CARNIVAL can be seen and heard in the distance.","Nightmare Alley"
"58","","Nightmare Alley"
"59","        The bus stops. STAN wakes up, looks around.","Nightmare Alley"
"60","","Nightmare Alley"
"61","                              DRIVER (O.C.)","Nightmare Alley"
"62","                    Alright folks, last stop, end of the","Nightmare Alley"
"63","                    line... Grab your belongings and head off","Nightmare Alley"
"64","                    the bus, thank you.","Nightmare Alley"
"65","","Nightmare Alley"
"66","        STAN picks up his belongings, exits the bus.","Nightmare Alley"
"67","","Nightmare Alley"
"68","5       EXT. BUS STOP CAFÉ - CONTINUOUS                                 5","Nightmare Alley"
"69","","Nightmare Alley"
"70","        STAN heads towards the CAFÉ.","Nightmare Alley"
"71","","Nightmare Alley"
"72","        Out of the café emerges a diminutive man (THE MAJOR) who is","Nightmare Alley"
"73","        carrying a take out bag- He walks by, THE MAJOR looks at","Nightmare Alley"
"74","        STAN-","Nightmare Alley"
"75","","Nightmare Alley"
"76","        STAN follows him as he enters a dirt road through the woods.","Nightmare Alley"
"77","        Beyond: LIGHTS AND COLOR!! DISTANT CALLIOPE MUSIC!!","Nightmare Alley"
"78","Nightmare Alley - FINAL SHOOTING SCRIPT - 12-1-21                2.","Nightmare Alley"
"79","","Nightmare Alley"
"80","","Nightmare Alley"
"81","6       EXT. CARNIVAL GROUNDS - NIGHT                                   6","Nightmare Alley"
"82","","Nightmare Alley"
"83","        STAN, hat on, carrying his radio and suitcase, enters-","Nightmare Alley"
"84","        following THE MAJOR. Calliope music and rancid cotton candy","Nightmare Alley"
"85","        smell fills the air- all around us faded banners advertise","Nightmare Alley"
"86","        marvels from far away. Merry-go-round, Ferris Wheel and","Nightmare Alley"
"87","        bumper cars-","Nightmare Alley"
"88","","Nightmare Alley"
"89","                              CARNIVAL BARKER (O.C.)","Nightmare Alley"
"90","                    Welcome, ladies and gentlemen! To the","Nightmare Alley"
"91","                    greatest carnival in the world! Spine","Nightmare Alley"
"92","                    chilling attractions. Fun for all ages!","Nightmare Alley"
"93","                    Hurry, hurry, hurry! Behold the beauties","Nightmare Alley"
"94","                    of the Orient, reenacting ancient dances,","Nightmare Alley"
"95","                    for your education and pleasure! Games of","Nightmare Alley"
"96","                    chance! Games of skill! Step right up and","Nightmare Alley"
"97","                    win a prize...","Nightmare Alley"
"98","","Nightmare Alley"
"99","        The crowd is dwindling. A TENT OF STRIPPERS dressed in","Nightmare Alley"
"100","        tantalizing orientalist rags.","Nightmare Alley"
"101","","Nightmare Alley"
"102","        Stan follows THE MAJOR, who climbs onto a stage announcing","Nightmare Alley"
"103","        ELECTRA- THE AMAZING ELECTRICAL GIRL.","Nightmare Alley"
"104","","Nightmare Alley"
"105","        POV: MOLLY, A WOMAN IN HER MID-TWENTIES, and BRUNO, an aging","Nightmare Alley"
"106","        strong man, walk off the stage as a group of WORKMEN “fold”","Nightmare Alley"
"107","        the attraction.","Nightmare Alley"
"108","","Nightmare Alley"
"109","                              THE MAJOR","Nightmare Alley"
"110","                    Hey, look what I got for ya - chocolate!","Nightmare Alley"
"111","","Nightmare Alley"
"112","        THE MAJOR gives MOLLY a bar of chocolate.","Nightmare Alley"
"113","","Nightmare Alley"
"114","                              BRUNO","Nightmare Alley"
"115","                        (to Molly)","Nightmare Alley"
"116","                    You ready to go? We got the sandwiches.","Nightmare Alley"
"117","","Nightmare Alley"
"118","        She puts on a raincoat and they all head out-","Nightmare Alley"
"119","","Nightmare Alley"
"120","        STAN sees the trio disappear behind a tent-","Nightmare Alley"
"121","","Nightmare Alley"
"122","                              BARKER (CLEM)","Nightmare Alley"
"123","                    ... one last chance- to witness this","Nightmare Alley"
"124","                    supreme oddity. I must ask ya, however,","Nightmare Alley"
"125","                    to remember that this exhibit is being","Nightmare Alley"
"126","                    presented solely in the interests of","Nightmare Alley"
"127","                    science and education. Where did it","Nightmare Alley"
"128","                    come from? Is it a beast or is it a","Nightmare Alley"
"129","                    man? Come on in and find out!","Nightmare Alley"
"130","","Nightmare Alley"
"131","        The Barker is CLEM HOATLEY, a middle aged man- once charming,","Nightmare Alley"
"132","        seductive even, now ravaged by the carnival, soiled by it. He","Nightmare Alley"
"133","        smokes and barks to a SMALL CROWD- uses his cigarette like a","Nightmare Alley"
"134","        baton. He enters the tent.","Nightmare Alley"
"135","Nightmare Alley - FINAL SHOOTING SCRIPT - 12-1-21               3.","Nightmare Alley"
"136","","Nightmare Alley"
"137","","Nightmare Alley"
"138","        STAN blends in with the crowd and follows.","Nightmare Alley"
"139","","Nightmare Alley"
"140","7       INT. TEN-IN-ONE - GEEK PIT - CONTINUOUS                         7","Nightmare Alley"
"141","","Nightmare Alley"
"142","        A big tent with a large excavated PIT.","Nightmare Alley"
"143","","Nightmare Alley"
"144","                              CLEM (CONT'D)","Nightmare Alley"
"145","                    This creature has been examined by the","Nightmare Alley"
"146","                    foremost scientists of both Europe and","Nightmare Alley"
"147","                    the Americas and pronounced a man.","Nightmare Alley"
"148","                    Unequivocally a man-","Nightmare Alley"
"149","","Nightmare Alley"
"150","        The crowd looks down- a door opens in the side of the pit. A","Nightmare Alley"
"151","        figure moves in the shadows- a dirty human shape with a mop","Nightmare Alley"
"152","        of matted hair.","Nightmare Alley"
"153","","Nightmare Alley"
"154","                              CLEM (CONT'D)","Nightmare Alley"
"155","                    He can go for weeks with neither food nor","Nightmare Alley"
"156","                    drink and live entirely on the","Nightmare Alley"
"157","                    atmosphere. But you are in luck, because","Nightmare Alley"
"158","                    tonight we’re going to feed him one last","Nightmare Alley"
"159","                    time!","Nightmare Alley"
"160","                        (to Louise)","Nightmare Alley"
"161","                    Peach...","Nightmare Alley"
"162","","Nightmare Alley"
"163","        Nearby, LOUISE (CLEM’S wife)- very pregnant- nods to Clem and","Nightmare Alley"
"164","        walks off holding a GRIMY WICKER BASKET at the end of a","Nightmare Alley"
"165","        stick.","Nightmare Alley"
"166","","Nightmare Alley"
"167","        He reaches down- he opens a small wooden cage and from it he","Nightmare Alley"
"168","        draws a half-grown leghorn pullet, complaining. He holds it","Nightmare Alley"
"169","        up so the crowd can see it.","Nightmare Alley"
"170","","Nightmare Alley"
"171","                              CLEM (CONT'D)","Nightmare Alley"
"172","                    There will be a slight additional","Nightmare Alley"
"173","                    charge for this attraction but it’s","Nightmare Alley"
"174","                    not a dollar, not fifty cents, but a","Nightmare Alley"
"175","                    quarter! One fourth of a dollar and","Nightmare Alley"
"176","                    you will see the Geek feed- suckle on","Nightmare Alley"
"177","                    the blood of reptiles and birds- like","Nightmare Alley"
"178","                    a babe feeding on its mother’s milk!","Nightmare Alley"
"179","","Nightmare Alley"
"180","        CLEM releases the chicken-","Nightmare Alley"
"181","","Nightmare Alley"
"182","        The necks crane down. A GRUNT of anticipation raises from the","Nightmare Alley"
"183","        cage.","Nightmare Alley"
"184","","Nightmare Alley"
"185","        TOP SHOT: the circle of the geek enclosure-","Nightmare Alley"
"186","","Nightmare Alley"
"187","        The chicken clucks around near the immobile GEEK.","Nightmare Alley"
"188","","Nightmare Alley"
"189","        Nothing occurs. A beat and then-","Nightmare Alley"
"190","Nightmare Alley - FINAL SHOOTING SCRIPT - 12-1-21                4.","Nightmare Alley"
"191","","Nightmare Alley"
"192","","Nightmare Alley"
"193","        THE GEEK moves, lightning fast (!), towards the chicken, and","Nightmare Alley"
"194","        snatches it- The GEEK howls and howls in the darkness-","Nightmare Alley"
"195","","Nightmare Alley"
"196","        The crowd cheers the Geek on.","Nightmare Alley"
"197","","Nightmare Alley"
"198","        THE GEEK BITES THE NECK OF THE BIRD- an explosion of blood!","Nightmare Alley"
"199","","Nightmare Alley"
"200","        The crowd reacts to the feeding in the cage.","Nightmare Alley"
"201","","Nightmare Alley"
"202","                              LOUISE (O.C.)","Nightmare Alley"
"203","                    Come on... fourth of a dollar...","Nightmare Alley"
"204","","Nightmare Alley"
"205","        Louise walks around, collecting money with the basket.","Nightmare Alley"
"206","","Nightmare Alley"
"207","                              LOUISE (CONT'D)","Nightmare Alley"
"208","                    Twenty-five cents... pay up...","Nightmare Alley"
"209","","Nightmare Alley"
"210","        STAN ducks away-","Nightmare Alley"
"211","","Nightmare Alley"
"212","        CLEM spots Stan-","Nightmare Alley"
"213","","Nightmare Alley"
"214","        STAN moves past JARS OF PICKLED PUNKS, exits the tent into-","Nightmare Alley"
"215","","Nightmare Alley"
"216","8       EXT. TENT ALLEY - CONTINUOUS                                   8","Nightmare Alley"
"217","","Nightmare Alley"
"218","        TENT ALLEY: The Carnies’ “Inner Sanctum.” THERE ARE BOXES,","Nightmare Alley"
"219","        CRATES AND OPEN PORTABLE DRESSERS. THE MAJOR and BRUNO are","Nightmare Alley"
"220","        sitting at a table, smoking stogies. STAN looks around-","Nightmare Alley"
"221","        confused.","Nightmare Alley"
"222","","Nightmare Alley"
"223","                              BRUNO","Nightmare Alley"
"224","                    Hey, Mack- you can’t be back here.","Nightmare Alley"
"225","","Nightmare Alley"
